Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38198e-01,0.04,0.06
5.38200e-01,0.06,-0.02
5.38202e-01,0.02,0.06
5.38203e-01,0.02,-3.8147e-08
5.38205e-01,0.04,0.06
5.38206e-01,0.04,-3.8147e-08
5.38208e-01,0.02,0.08
5.38210e-01,0.04,-3.8147e-08
5.38211e-01,0.04,0.08
5.38213e-01,0.04,-3.8147e-08
5.38214e-01,0.02,0.06
5.38216e-01,0.04,-3.8147e-08
5.38218e-01,0.04,0.06
5.38219e-01,0.04,-3.8147e-08
5.38221e-01,0.04,0.08
5.38222e-01,0.04,-0.02
5.38224e-01,0.02,0.06
5.38226e-01,0.04,-3.8147e-08
5.38227e-01,0.02,0.06
5.38229e-01,0.02,-3.8147e-08
5.38230e-01,0.04,0.06
5.38232e-01,0.04,-3.8147e-08
5.38234e-01,0.02,0.06
5.38235e-01,0.04,-3.8147e-08
5.38237e-01,0.02,0.06
5.38238e-01,0.02,-0.02
5.38240e-01,0.04,0.08
5.38242e-01,0.04,-3.8147e-08
5.38243e-01,0.04,0.06
5.38245e-01,-3.8147e-08,-3.8147e-08
5.38246e-01,0.02,0.06
5.38248e-01,0.04,-3.8147e-08
5.38250e-01,0.04,0.06
5.38251e-01,0.04,-3.8147e-08
5.38253e-01,0.02,0.06
5.38254e-01,0.04,-3.8147e-08
5.38256e-01,0.04,0.06
5.38258e-01,0.04,-3.8147e-08
5.38259e-01,0.02,0.06
5.38261e-01,0.02,-0.02
5.38262e-01,0.02,0.06
5.38264e-01,0.02,-3.8147e-08
5.38266e-01,0.04,0.06
5.38267e-01,-3.8147e-08,-0.02
5.38269e-01,0.04,0.06
5.38270e-01,0.02,-3.8147e-08
5.38272e-01,0.02,0.06
5.38274e-01,0.04,-3.8147e-08
5.38275e-01,0.04,0.06
5.38277e-01,-3.8147e-08,-3.8147e-08
5.38278e-01,0.02,0.06
5.38280e-01,0.02,-3.8147e-08
5.38282e-01,0.04,0.06
5.38283e-01,0.04,-3.8147e-08
5.38285e-01,0.04,0.06
5.38286e-01,0.04,-0.02
5.38288e-01,0.04,0.06
5.38290e-01,0.02,-3.8147e-08
5.38291e-01,0.02,0.06
5.38293e-01,0.02,-0.02
5.38294e-01,0.06,0.06
5.38296e-01,0.04,-3.8147e-08
5.38298e-01,0.04,0.06
5.38299e-01,0.04,-3.8147e-08
5.38301e-01,0.06,0.06
5.38302e-01,0.04,-3.8147e-08
5.38304e-01,0.04,0.06
5.38306e-01,0.02,-3.8147e-08
5.38307e-01,0.04,0.08
5.38309e-01,0.04,-3.8147e-08
5.38310e-01,0.02,0.06
5.38312e-01,0.04,-3.8147e-08
5.38314e-01,0.04,0.06
5.38315e-01,0.04,-3.8147e-08
5.38317e-01,0.02,0.06
5.38318e-01,0.04,-0.02
