Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.279011e-01,0.04,0.06
6.279013e-01,0.02,-3.8147e-08
6.279014e-01,0.04,0.06
6.279016e-01,0.06,-3.8147e-08
6.279018e-01,0.04,0.06
6.279019e-01,0.02,-3.8147e-08
6.279021e-01,0.04,0.06
6.279022e-01,0.04,-3.8147e-08
6.279024e-01,0.04,0.06
6.279026e-01,0.06,-3.8147e-08
6.279027e-01,0.06,0.06
6.279029e-01,0.04,-3.8147e-08
6.279030e-01,0.02,0.06
6.279032e-01,0.02,-3.8147e-08
6.279034e-01,0.06,0.06
6.279035e-01,0.02,-3.8147e-08
6.279037e-01,0.04,0.08
6.279038e-01,0.04,-3.8147e-08
6.279040e-01,0.04,0.06
6.279042e-01,0.02,-3.8147e-08
6.279043e-01,0.02,0.06
6.279045e-01,0.04,-3.8147e-08
6.279046e-01,0.04,0.06
6.279048e-01,0.04,-3.8147e-08
6.279050e-01,0.04,0.06
6.279051e-01,0.04,-3.8147e-08
6.279053e-01,0.04,0.06
6.279054e-01,0.04,-3.8147e-08
6.279056e-01,0.04,0.06
6.279058e-01,0.04,-3.8147e-08
6.279059e-01,0.04,0.06
6.279061e-01,0.04,-3.8147e-08
6.279062e-01,0.04,0.06
6.279064e-01,0.04,-3.8147e-08
6.279066e-01,0.04,0.06
6.279067e-01,0.04,-3.8147e-08
6.279069e-01,0.04,0.06
6.279070e-01,0.02,-3.8147e-08
6.279072e-01,0.04,0.06
6.279074e-01,0.02,-3.8147e-08
6.279075e-01,0.04,0.06
6.279077e-01,0.02,-3.8147e-08
6.279078e-01,0.02,0.06
6.279080e-01,0.04,-3.8147e-08
6.279082e-01,0.06,0.06
6.279083e-01,0.04,-3.8147e-08
6.279085e-01,0.04,0.06
6.279086e-01,0.04,-3.8147e-08
6.279088e-01,0.02,0.06
6.279090e-01,0.04,-3.8147e-08
6.279091e-01,0.04,0.06
6.279093e-01,0.04,-3.8147e-08
6.279094e-01,0.04,0.06
6.279096e-01,0.04,-3.8147e-08
6.279098e-01,0.04,0.06
6.279099e-01,0.04,-3.8147e-08
6.279101e-01,0.04,0.08
6.279102e-01,0.04,-3.8147e-08
6.279104e-01,0.04,0.06
6.279106e-01,0.02,-3.8147e-08
6.279107e-01,0.04,0.06
6.279109e-01,0.06,-3.8147e-08
6.279110e-01,0.02,0.06
6.279112e-01,0.04,-3.8147e-08
6.279114e-01,0.04,0.06
6.279115e-01,0.02,-3.8147e-08
6.279117e-01,0.02,0.06
6.279118e-01,0.04,-3.8147e-08
6.279120e-01,0.04,0.06
6.279122e-01,0.04,-3.8147e-08
6.279123e-01,0.02,0.06
6.279125e-01,0.04,-3.8147e-08
6.279126e-01,0.02,0.06
6.279128e-01,0.02,0.02
6.279130e-01,0.02,0.06
6.279131e-01,0.04,0.02
6.279133e-01,0.02,0.06
6.279134e-01,0.04,-3.8147e-08
6.279136e-01,0.04,0.06
6.279138e-01,0.02,-3.8147e-08
6.279139e-01,0.02,0.06
6.279141e-01,0.02,-3.8147e-08
6.279142e-01,0.04,0.06
6.279144e-01,0.02,-3.8147e-08
6.279146e-01,0.06,0.06
6.279147e-01,0.04,-3.8147e-08
6.279149e-01,0.02,0.06
6.279150e-01,0.04,-3.8147e-08
