Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.190538e-01,0.46,0.5
6.190539e-01,0.48,0.46
6.190541e-01,0.46,0.5
6.190542e-01,0.48,0.44
6.190544e-01,0.46,0.52
6.190546e-01,0.48,0.44
6.190547e-01,0.46,0.5
6.190549e-01,0.46,0.44
6.190550e-01,0.46,0.5
6.190552e-01,0.48,0.44
6.190554e-01,0.48,0.5
6.190555e-01,0.48,0.46
6.190557e-01,0.48,0.5
6.190558e-01,0.48,0.44
6.190560e-01,0.46,0.5
6.190562e-01,0.46,0.44
6.190563e-01,0.46,0.5
6.190565e-01,0.46,0.44
6.190566e-01,0.48,0.5
6.190568e-01,0.44,0.44
6.190570e-01,0.48,0.5
6.190571e-01,0.5,0.44
6.190573e-01,0.44,0.5
6.190574e-01,0.46,0.44
6.190576e-01,0.48,0.5
6.190578e-01,0.46,0.44
6.190579e-01,0.48,0.5
6.190581e-01,0.48,0.44
6.190582e-01,0.46,0.5
6.190584e-01,0.48,0.44
6.190586e-01,0.48,0.5
6.190587e-01,0.46,0.44
6.190589e-01,0.46,0.5
6.190590e-01,0.48,0.44
6.190592e-01,0.48,0.5
6.190594e-01,0.44,0.44
6.190595e-01,0.46,0.5
6.190597e-01,0.46,0.44
6.190598e-01,0.46,0.5
6.190600e-01,0.46,0.44
6.190602e-01,0.46,0.5
6.190603e-01,0.48,0.44
6.190605e-01,0.46,0.5
6.190606e-01,0.46,0.44
6.190608e-01,0.48,0.5
6.190610e-01,0.46,0.44
6.190611e-01,0.48,0.5
6.190613e-01,0.46,0.44
6.190614e-01,0.46,0.5
6.190616e-01,0.46,0.44
6.190618e-01,0.46,0.5
6.190619e-01,0.46,0.44
6.190621e-01,0.46,0.5
6.190622e-01,0.48,0.44
6.190624e-01,0.48,0.5
6.190626e-01,0.48,0.44
6.190627e-01,0.48,0.5
6.190629e-01,0.46,0.44
6.190630e-01,0.48,0.5
6.190632e-01,0.46,0.44
6.190634e-01,0.46,0.5
6.190635e-01,0.46,0.44
6.190637e-01,0.48,0.5
6.190638e-01,0.46,0.44
6.190640e-01,0.46,0.48
6.190642e-01,0.48,0.44
6.190643e-01,0.48,0.5
6.190645e-01,0.46,0.44
6.190646e-01,0.46,0.5
6.190648e-01,0.48,0.44
6.190650e-01,0.46,0.5
6.190651e-01,0.48,0.44
6.190653e-01,0.46,0.5
6.190654e-01,0.48,0.44
6.190656e-01,0.46,0.48
6.190658e-01,0.48,0.44
6.190659e-01,0.46,0.48
6.190661e-01,0.46,0.42
6.190662e-01,0.46,0.5
6.190664e-01,0.46,0.44
6.190666e-01,0.46,0.5
6.190667e-01,0.48,0.44
6.190669e-01,0.46,0.5
6.190670e-01,0.48,0.44
6.190672e-01,0.46,0.5
6.190674e-01,0.48,0.44
6.190675e-01,0.48,0.5
6.190677e-01,0.46,0.44
6.190678e-01,0.46,0.5
6.190680e-01,0.46,0.44
6.190682e-01,0.48,0.5
6.190683e-01,0.48,0.44
6.190685e-01,0.46,0.5
6.190686e-01,0.48,0.44
6.190688e-01,0.46,0.5
6.190690e-01,0.48,0.44
6.190691e-01,0.48,0.48
6.190693e-01,0.48,0.44
6.190694e-01,0.46,0.5
6.190696e-01,0.48,0.44
6.190698e-01,0.48,0.5
6.190699e-01,0.46,0.44
6.190701e-01,0.48,0.5
6.190702e-01,0.46,0.44
6.190704e-01,0.48,0.5
6.190706e-01,0.46,0.44
6.190707e-01,0.46,0.5
6.190709e-01,0.46,0.44
6.190710e-01,0.48,0.5
6.190712e-01,0.44,0.44
6.190714e-01,0.48,0.5
6.190715e-01,0.46,0.44
6.190717e-01,0.46,0.5
6.190718e-01,0.46,0.44
6.190720e-01,0.46,0.5
6.190722e-01,0.46,0.44
6.190723e-01,0.46,0.5
6.190725e-01,0.46,0.44
6.190726e-01,0.46,0.5
6.190728e-01,0.46,0.44
6.190730e-01,0.46,0.5
6.190731e-01,0.48,0.44
6.190733e-01,0.48,0.48
6.190734e-01,0.46,0.44
6.190736e-01,0.46,0.48
6.190738e-01,0.48,0.44
6.190739e-01,0.46,0.48
6.190741e-01,0.48,0.44
6.190742e-01,0.48,0.48
6.190744e-01,0.46,0.44
6.190746e-01,0.46,0.5
6.190747e-01,0.46,0.44
6.190749e-01,0.46,0.5
6.190750e-01,0.46,0.44
6.190752e-01,0.46,0.48
6.190754e-01,0.48,0.44
6.190755e-01,0.46,0.5
6.190757e-01,0.48,0.44
6.190758e-01,0.48,0.5
6.190760e-01,0.46,0.44
6.190762e-01,0.46,0.5
6.190763e-01,0.46,0.44
6.190765e-01,0.46,0.48
6.190766e-01,0.46,0.44
6.190768e-01,0.48,0.48
6.190770e-01,0.46,0.44
6.190771e-01,0.46,0.5
6.190773e-01,0.46,0.44
6.190774e-01,0.46,0.5
6.190776e-01,0.46,0.44
6.190778e-01,0.48,0.48
6.190779e-01,0.48,0.44
6.190781e-01,0.48,0.5
6.190782e-01,0.48,0.44
6.190784e-01,0.46,0.5
6.190786e-01,0.46,0.44
6.190787e-01,0.48,0.5
6.190789e-01,0.46,0.44
6.190790e-01,0.44,0.5
6.190792e-01,0.46,0.44
6.190794e-01,0.46,0.5
6.190795e-01,0.46,0.44
6.190797e-01,0.48,0.48
6.190798e-01,0.46,0.44
6.190800e-01,0.48,0.5
6.190802e-01,0.48,0.44
6.190803e-01,0.46,0.48
6.190805e-01,0.46,0.44
6.190806e-01,0.48,0.5
6.190808e-01,0.44,0.44
6.190810e-01,0.46,0.5
6.190811e-01,0.46,0.44
6.190813e-01,0.46,0.5
6.190814e-01,0.48,0.44
6.190816e-01,0.46,0.5
6.190818e-01,0.46,0.44
6.190819e-01,0.48,0.5
6.190821e-01,0.46,0.44
6.190822e-01,0.46,0.48
6.190824e-01,0.46,0.44
6.190826e-01,0.46,0.5
6.190827e-01,0.46,0.44
6.190829e-01,0.48,0.48
6.190830e-01,0.46,0.44
6.190832e-01,0.46,0.5
6.190834e-01,0.48,0.44
6.190835e-01,0.46,0.5
6.190837e-01,0.46,0.44
6.190838e-01,0.48,0.5
6.190840e-01,0.46,0.44
6.190842e-01,0.46,0.5
6.190843e-01,0.46,0.44
6.190845e-01,0.48,0.5
6.190846e-01,0.46,0.44
6.190848e-01,0.46,0.5
6.190850e-01,0.48,0.44
6.190851e-01,0.46,0.48
6.190853e-01,0.46,0.44
6.190854e-01,0.48,0.48
6.190856e-01,0.46,0.44
6.190858e-01,0.48,0.5
6.190859e-01,0.48,0.44
6.190861e-01,0.46,0.5
6.190862e-01,0.48,0.44
6.190864e-01,0.48,0.5
6.190866e-01,0.46,0.44
6.190867e-01,0.48,0.5
6.190869e-01,0.48,0.44
6.190870e-01,0.46,0.5
6.190872e-01,0.46,0.44
6.190874e-01,0.46,0.5
6.190875e-01,0.44,0.44
6.190877e-01,0.46,0.5
6.190878e-01,0.46,0.44
6.190880e-01,0.48,0.5
6.190882e-01,0.48,0.44
6.190883e-01,0.44,0.5
6.190885e-01,0.46,0.44
6.190886e-01,0.46,0.5
6.190888e-01,0.46,0.44
6.190890e-01,0.46,0.5
6.190891e-01,0.48,0.44
6.190893e-01,0.46,0.48
6.190894e-01,0.46,0.44
6.190896e-01,0.46,0.5
6.190898e-01,0.48,0.44
6.190899e-01,0.46,0.48
6.190901e-01,0.48,0.44
6.190902e-01,0.46,0.5
6.190904e-01,0.46,0.44
6.190906e-01,0.48,0.48
6.190907e-01,0.48,0.44
6.190909e-01,0.46,0.5
6.190910e-01,0.46,0.44
6.190912e-01,0.44,0.48
6.190914e-01,0.46,0.44
6.190915e-01,0.48,0.5
6.190917e-01,0.46,0.44
6.190918e-01,0.46,0.48
6.190920e-01,0.46,0.44
6.190922e-01,0.46,0.5
6.190923e-01,0.48,0.44
6.190925e-01,0.48,0.5
6.190926e-01,0.46,0.44
6.190928e-01,0.48,0.48
6.190930e-01,0.46,0.44
6.190931e-01,0.44,0.5
6.190933e-01,0.48,0.44
6.190934e-01,0.46,0.48
6.190936e-01,0.48,0.44
6.190938e-01,0.46,0.5
6.190939e-01,0.46,0.44
6.190941e-01,0.48,0.5
6.190942e-01,0.44,0.44
6.190944e-01,0.48,0.5
6.190946e-01,0.46,0.44
6.190947e-01,0.46,0.48
6.190949e-01,0.46,0.44
6.190950e-01,0.46,0.48
6.190952e-01,0.46,0.44
6.190954e-01,0.46,0.48
6.190955e-01,0.46,0.44
6.190957e-01,0.46,0.5
6.190958e-01,0.46,0.44
6.190960e-01,0.46,0.5
6.190962e-01,0.46,0.44
6.190963e-01,0.48,0.5
6.190965e-01,0.48,0.44
6.190966e-01,0.46,0.5
6.190968e-01,0.48,0.44
6.190970e-01,0.48,0.5
6.190971e-01,0.46,0.44
6.190973e-01,0.46,0.5
6.190974e-01,0.48,0.44
6.190976e-01,0.48,0.5
6.190978e-01,0.46,0.42
6.190979e-01,0.46,0.5
6.190981e-01,0.46,0.44
6.190982e-01,0.46,0.5
6.190984e-01,0.46,0.44
6.190986e-01,0.46,0.5
6.190987e-01,0.48,0.44
6.190989e-01,0.48,0.5
6.190990e-01,0.48,0.44
6.190992e-01,0.48,0.5
6.190994e-01,0.48,0.44
6.190995e-01,0.46,0.5
6.190997e-01,0.48,0.44
6.190998e-01,0.46,0.5
6.191000e-01,0.46,0.44
6.191002e-01,0.48,0.5
6.191003e-01,0.48,0.44
6.191005e-01,0.48,0.5
6.191006e-01,0.48,0.44
6.191008e-01,0.46,0.5
6.191010e-01,0.48,0.44
6.191011e-01,0.48,0.5
6.191013e-01,0.46,0.44
6.191014e-01,0.46,0.5
